Helen_Mirren, 1945-07-26, 2,3,405277
Helmuth_von_Moltke_the_Elder, 1800-10-26, 2,11,108127
Hendrik_Lorentz, 1853-07-18, 2,2,599513
Henry_Kissinger, 1923-05-27, 2,43,28181
Henry_Miller, 1891-12-26, 2,2,603023
Henry_Moseley, 1887-11-23, 2,61,19759
Herman_Cain, 1945-12-13, 2,821,1481
Hermann_Hesse, 1877-07-02, 2,401,3001
Hermann_Weyl, 1885-11-09, 2,107,11261
Howard_Webb, 1971-07-14, 2,239,5107
Howard_Zinn, 1922-08-24, 2,5,242329
Hugh_Grant, 1960-09-09, 2,103,11831
Hugh_Hefner, 1926-04-09, 2,23,52709
Hugh_Laurie, 1959-06-11, 2,5,243673
Ian_Holm, 1931-09-12, 2,2,606649
Ibrahim_Rugova, 1944-12-02, 2,647,1879
Ignazio_Abate, 1986-11-12, 2,3,407791
Igor_Kurchatov, 1903-01-12, 2,251,4813
István_Sándorfi, 1948-06-12, 2,419,2903
Ivan_Turgenev, 1818-11-09, 2,43,27737
Ivan_V_of_Russia, 1666-09-06, 2,29,40169
Ivo_Josipović, 1957-08-28, 2,3,406013
Iván_Zamorano, 1967-01-18, 2,2,609877
J._Christopher_Stevens, 1960-04-18, 2,37,32933
J._K._Rowling, 1965-07-31, 2,2,609743
Jaap_de_Hoop_Scheffer, 1948-04-03, 2,2,608161
Jack_White, 1975-07-09, 2,19,64279
Jack_Wilshere, 1992-01-01, 2,11,111301
Jackie_Joyner-Kersee, 1962-03-03, 2,823,1481
Jacques-Bénigne_Bossuet, 1627-09-27, 2,163,7103
Jafar_Panahi, 1960-07-11, 2,23,52981
Jalal_Talabani, 1933-11-12, 2,2,606847
James_B._Sumner, 1887-11-19, 2,283,4259
James_Dewar, 1842-09-20, 2,7,171007
James_M._Buchanan, 1919-10-03, 2,19,63743
James_Michel, 1944-08-16, 2,571,2129
Jane_Austen, 1775-12-16, 2,89,13313
Jane_Seymour_(actress), 1951-02-15, 2,2,608423
Janeane_Garofalo, 1964-09-28, 2,67,18199
Janne_Ahonen, 1977-05-11, 2,17,71861
Jari_Litmanen, 1971-02-20, 2,31,39371
Jaroslav_Hašek, 1883-04-30, 2,5,240893
Jason_Isaacs, 1963-06-06, 2,43,28351
Jean,_Grand_Duke_of_Luxembourg, 1921-01-05, 2,107,11321
Jean-Bédel_Bokassa, 1921-02-22, 2,7,173053
Jean-Honoré_Fragonard, 1732-04-05, 2,13,90529
Jean_Dubuffet, 1901-07-31, 2,2,603899
Jean_Giraud, 1938-05-08, 2,163,7451
Jean_Reno, 1948-07-30, 2,257,4733
Jean_Simmons, 1929-01-31, 2,41,29581
Jeff_Bridges, 1949-12-04, 2,19,64033
Jeff_Buckley, 1966-11-17, 2,631,1933
Jeff_Dunham, 1962-04-18, 2,2,609443
Jelena_Janković, 1985-02-28, 2,2,611531
Jennifer_Beals, 1963-12-19, 2,3,406397
Jennifer_Capriati, 1976-03-29, 2,17,71849
Jennifer_Carpenter, 1979-12-07, 2,3,407369
Jennifer_Lopez, 1969-07-24, 2,211,5783
Jerry_Goldsmith, 1929-02-10, 2,2,606413
Jerry_Yang_(entrepreneur), 1968-11-06, 2,373,3271
Jessica_Chastain, 1977-03-24, 2,127,9619
Jesús_Navas, 1985-11-21, 2,5,244639
Jewel_(singer), 1974-05-23, 2,5,244219
Jim_Jones, 1931-05-13, 2,103,11779
Jim_Lovell, 1928-03-25, 2,5,242533
Jim_Morrison, 1943-12-08, 2,11,110503
Jim_Varney, 1949-06-15, 2,89,13669
Jo-Wilfried_Tsonga, 1985-04-17, 2,2,611543
Joan_Capdevila, 1978-02-03, 2,3,407257
Joaquim_Chissano, 1939-10-22, 2,137,8867
Joey_Barton, 1982-09-02, 2,167,7321
Johan_Gadolin, 1760-06-05, 2,3,394007
Johann_Wolfgang_von_Goethe, 1749-08-28, 2,2,590027
John_Archibald_Wheeler, 1911-07-09, 2,881,1373
John_Carpenter, 1948-01-16, 2,97,12539
John_Cassavetes, 1929-12-09, 2,127,9551
John_Cornforth, 1917-09-07, 2,59,20521
